Link Dokumen,Wilayah,Tahun,Jenis Dokumen,Kerja Sama
https://drive.google.com/file/d/1_0wnXQfud39Qu-7pUJAG304Yy0UYIU02/view?usp=sharing,NASIONAL,2021,KONTRAK,Pengembangan Sistem/Produk
https://drive.google.com/file/d/1_5uV65CRZ2ew79m2MW40BGud_HdsJ3MA/view?usp=sharing,LOKAL,2021,KONTRAK,Penyediaan Jasa Tenaga Ahli
https://drive.google.com/file/d/1_5X1qt_ud_t4Rg-4huOG-GpB4FWfx8S5/view?usp=sharing,LOKAL,2021,KONTRAK,Penyediaan Jasa Tenaga Ahli
https://drive.google.com/file/d/1m4y1Rri1cwEbvtIqp1LuI-cu4eT64EH3/view?usp=sharing,INTERNASIONAL,2021,KONTRAK,Penelitian/Riset-Kampus Merdeka
https://drive.google.com/file/d/15dvJoYQJKbWiUdq5_h-l6d6L8fP1nJW2/view?usp=sharing,NASIONAL,2021,KONTRAK,Penyediaan Jasa Tenaga Ahli
https://drive.google.com/file/d/1aFVrQylNK8RgUUiPAoUUDLTg2v5v9enD/view?usp=sharing,INTERNASIONAL,2022,MOU,
https://drive.google.com/file/d/1argJ3tI_ikeKKtRXn3IAmxu9FlA_zXh_/view?usp=sharing,LOKAL,2022,MOU,
https://drive.google.com/file/d/1ajNjKdjOjtNyLUj7lyhyriAJOKmCUfa1/view?usp=sharing,NASIONAL,2022,MOU,
https://drive.google.com/file/d/1ah1NTyqpnmZtYBtdSbYJWya09lKifOeG/view?usp=sharing,NASIONAL,2022,MOU,
https://drive.google.com/file/d/1_odyB9ACzmoJfC0aHODkyu27_5p5HgX1/view?usp=sharing,LOKAL,2022,MOU,
https://drive.google.com/file/d/1aqo9FM1ugweSA9dh3qhtkjQmxuEO5WA2/view?usp=sharing,NASIONAL,2022,MOU,
https://drive.google.com/file/d/1aqX5A4VlIBTyj-wlEzwWhkSwm6zVs76c/view?usp=sharing,LOKAL,2022,MOU,
https://drive.google.com/file/d/1aeFxMDpC_NpB_sFAR8OHaAyIX7boteja/view?usp=sharing,NASIONAL,2022,MOU,
https://drive.google.com/file/d/1_ll-FUtwdI4qzvTUgME6V8V9k1fF1M5r/view?usp=sharing,NASIONAL,2022,MOU,
https://drive.google.com/file/d/1aqRceu4AdK3dieia6BO0uugzfOa3SsGx/view?usp=sharing,LOKAL,2022,MOU,
https://drive.google.com/file/d/1aeEobQql-VFk3C3SzcNNblJ3OUmHWnHn/view?usp=sharing,LOKAL,2022,MOU,
https://drive.google.com/file/d/1_lNjyvGBK6OPKH9Oyjaj_LanBHhPZF9Q/view?usp=sharing,NASIONAL,2022,MOU,
https://drive.google.com/file/d/1ao_dylSnqvjNy5Jl6687iALMECVWVVYg/view?usp=sharing,LOKAL,2022,MOU,
https://drive.google.com/file/d/1a5gnv8Ld2KLRM1GzVYooU0vUc9Svh3Yb/view?usp=sharing,LOKAL,2022,MOU,
https://drive.google.com/file/d/1a3aFukLxb-7rmSQ8t7uuzbJqGzNPgTVQ/view?usp=sharing,LOKAL,2022,MOU,
https://drive.google.com/file/d/1ak8THv8wwWP875u-8dnE3gQ_tXTNV8cI/view?usp=sharing,LOKAL,2022,MOU,
