nomor_dokumen,tanggal_penetapan,link_dokumen,tanggal_pengajuan,tentang,nama_mitra
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,POLITEKNIK NEGERI LHOKSEUMAWE
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,POLITEKNIK NEGERI MALANG
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,POLITEKNIK NEGERI BANYUWANGI
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,POLITEKNIK NEGERI AMBON
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,POLITEKNIK MANUFAKTUR NEGERI BANGKA BELITUNG
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,POLITEKNIK NEGERI SEMARANG
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,POLITEKNIK NEGERI BANJARMASIN
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,POLITEKNIK PERTANIAN NEGERI KUPANG
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,POLITEKNIK NEGERI FAKFAK
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,POLITEKNIK PERKAPALAN NEGERI SURABAYA
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,POLITEKNIK PERTANIAN NEGERI PAYAKUMBUH
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,POLITEKNIK NEGERI TANAH LAUT
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,POLITEKNIK NEGERI MADURA
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,POLITEKNIK NEGERI BANDUNG (POLBAN)
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,POLITEKNIK MANUFAKTUR BANDUNG
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,AKADEMI KOMUNITAS NEGERI SENI DAN BUDAYA YOGYAKARTA
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,POLITEKNIK NEGERI PADANG
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,POLITEKNIK NEGERI BALIKPAPAN
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,POLITEKNIK NEGERI SRIWIJAYA
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,POLITEKNIK NEGERI NUNUKAN
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,POLITEKNIK NEGERI KETAPANG
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,POLITEKNIK NEGERI UJUNG PANDANG
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,POLITEKNIK PERIKANAN NEGERI TUAL
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,POLITEKNIK NEGERI SUBANG
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,POLITEKNIK NEGERI JEMBER
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,AKADEMI KOMUNITAS NEGERI PACITAN
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,AKADEMI KOMUNITAS NEGERI PUTRA SANG FAJAR BLITAR
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,AKADEMI KOMUNITAS NEGERI REJANG LEBONG
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,POLITEKNIK TEKNOLOGI NUKLIR INDONESIA
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,POLITEKNIK NEGERI KUPANG
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,POLITEKNIK NEGERI MEDIA KREATIF (POLIMEDIA)
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,POLITEKNIK NEGERI BATAM
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,POLITEKNIK MARITIM NEGERI INDONESIA
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,POLITEKNIK NEGERI INDRAMAYU
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,POLITEKNIK NEGERI MANADO
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,POLITEKNIK PERTANIAN NEGERI SAMARINDA
296/PL16/KS.BIV/2023,08-12-2023,https://drive.google.com/file/d/1xaAWRt3CMv-YAUPhL6SOussgnBG4z4EH/view?usp=sharing,08-12-2023,Tridharma Perguruan Tinggi,AKADEMI KOMUNITAS NEGERI ACEH BARAT
,23-07-2021,https://drive.google.com/file/d/15dvJoYQJKbWiUdq5_h-l6d6L8fP1nJW2/view?usp=sharing,12-03-2025,Pelaksanaan Swakelola Beasiswa Pelatihan Intensif Non Gelar Digital Talent Scholarship Tahun 2021,BALAI BESAR PENGEMBANGAN SDM DAN PENELITIAN KOMINFO MEDAN
351/PL16/KS.BIV/2021,06-01-2021,https://drive.google.com/file/d/1_UneFd3fAAc3VAdFTPeB5QfZubaouxWo/view?usp=sharing,14-03-2025,Kemitraan dalam Kegiatan Tri Dharma Perguruan Tinggi,POLITEKNIK SERUYAN
841/PL16/KS.BIV/2021,10-04-2021,https://drive.google.com/file/d/1WjXWS8r63VBN_yYfatiVulUAgWA3b3q6/view?usp=sharing,14-03-2025,Program Magang Mahasiswa Bersertifikat,PERUSAHAAN UMUM (PERUM) BULOG KANWIL KALBAR
3034/PL16/KS.00.00/2025,28-02-2025,https://drive.google.com/file/d/1A_a2IaU0QOrWJ3r11Ppl5fDnSDJn1fi3/view?usp=sharing,14-03-2025,,CV TRIO KOKKINO INTERNUSA
3165/PL16/KS.00.00/2025,03-05-2025,https://drive.google.com/file/d/1ZmBD4iqDy0bagSpruYC4RaKEy_AMvlwF/view?usp=sharing,14-03-2025,Kerja Sama Asesmen BKD,POLITEKNIK NEGERI SAMBAS
8261/PL16/KS.00.00/2024,08-02-2024,https://drive.google.com/file/d/1s8wGhktTOET5dRpFNoMZrINd_zJUwo16/view?usp=sharing,14-03-2025,Penerapan Teknologi Tepat Guna Mesin Proses Pembutan Pakan Ternak pada Kelompok Ternak Unggas di Desar Rasau Jaya Tiga Kecamatan Rasau Jaya Kabupaten Kubu Raya,FARM TALITA GARDEN
8262/PL16/KS.00.00/2024,08-02-2024,https://drive.google.com/file/d/1dXmmCTgMXK5RiNhG0zypGATFcJoXqkIB/view?usp=sharing,16-03-2025,"Penerapan Iptek Mesin Pengiris dan Mesin Pengering untuk Meningkatkan Produksi Keripik Singkong Berenda pada Usaha Kecil di Desa Rasau Jaya Dua, Kecamatan Rasau Jaya, Kabupaten Kubu Raya",UKM BAROKAH
,12-05-2024,https://drive.google.com/file/d/13zdD-tWWYEqmLAOW0Tnvrd4-Ng9wFMWW/view?usp=sharing,18-03-2025,Cooperation in Academic and Research Related Activities,MINGHSIN UNIVERSITY OF SCIENCE AND TECHNOLOGY
9316/PL16/KS.00.00/2024,30-08-2024,https://drive.google.com/file/d/1CI_yoi2Nu3SQ58pSQ8QypjNwA0UZqbR1/view?usp=sharing,20-03-2025,School and Campus Activation Program,PT BANK CIMB NIAGA TBK
9203/PL16/KS/2024,28-08-2024,https://drive.google.com/file/d/1TADKKKDpg3-uGBdxeEec1ExE9Z4ncGo7/view?usp=sharing,20-03-2025,Diklat dan Sertifikasi Kompetensi Accurate Profesional,PT BUANA CIPTA CHAHRA
12471/PL16/KS.00.00/2024,21-10-2024,https://drive.google.com/file/d/1LlXQX_yowWGdHnwyBMC0l1B0fyIzbYVN/view?usp=sharing,20-03-2025,Diklat dan Sertifikasi Internasional ITS Data Science,LEMBAGA WINNER INDONESIA LEARNING
503/PL16/KS.BIV/2023,18-09-2023,https://drive.google.com/file/d/1W5u1qwPN4VqwAAAAlwSQmJdK8ZDjitd9/view?usp=sharing,20-03-2025,,UNIT USAHA MANDIRI ARWANA INDONESIA SPESIALIS
504/PL16/KS.BIV/2023,18-09-2023,https://drive.google.com/file/d/1CrdvOm9wQsEfs0w2Bkyk2zaiQyxLDr6p/view?usp=sharing,20-03-2025,,UNIT USAHA TERPADU DNUANSA ARWANA
