id,provinsi,kabupaten_kota
zu4536wc,Jawa Timur,Lumajang
76qqwpwx,Jawa Timur,Jember
a1f9080r,Jawa Timur,Banyuwangi
6t5s0kui,Jawa Timur,Bondowoso
ze01qf3o,Jawa Timur,Situbondo
r7e3vsky,Jawa Timur,Probolinggo
l37g7ny6,Jawa Timur,Pasuruan
a4jh3f9g,Jawa Timur,Sidoarjo
e67v1103,Jawa Timur,Mojokerto
5s6vyx34,Jawa Timur,Jombang
znsy6z76,Jawa Timur,Nganjuk
c9e13s56,Jawa Timur,Madiun
mdj9uz05,Jawa Timur,Ngawi
y652u0w1,Jawa Timur,Bojonegoro
096n9gf6,Jawa Timur,Tuban
78d5v5vz,Jawa Timur,Lamongan
dz20tp22,Jawa Timur,Gresik
jv9x366z,Jawa Timur,Bangkalan
2l4572dm,Jawa Timur,Sampang
2da0cl5x,Jawa Timur,Pamekasan
kpa30l6v,Jawa Timur,Sumenep
625qt158,Jawa Timur,Kota Kediri
h0hfkhj7,Jawa Timur,Kota Blitar
mzu0454i,Jawa Timur,Kota Malang
vl1cc6e0,Jawa Timur,Kota Probolinggo
g26tj3mt,Jawa Timur,Kota Pasuruan
y9h40ug7,Jawa Timur,Kota Mojokerto
5j21t984,Jawa Timur,Kota Madiun
d3zd3t3q,Jawa Timur,Kota Surabaya
ml1t7z9j,Jawa Timur,Kota Batu
j4rdh74v,Banten,Pandeglang
169spl5o,Banten,Lebak
dmd165vx,Banten,Tangerang
c9pb6k12,Banten,Serang
4b16mcqd,Banten,Kota Tangerang
54pj4yaj,Banten,Kota Cilegon
f01ylc3b,Banten,Kota Serang
h4a340gb,Banten,Kota Tangerang Selatan
8np82p4i,Bali,Jembrana
0hzb3ax2,Bali,Tabanan
h6kz001l,Bali,Badung
17m5l17t,Bali,Gianyar
l7s318eu,Bali,Klungkung
opw7v88y,Bali,Bangli
df285n10,Bali,Karangasem
2k1leqyp,Bali,Buleleng
okj1u8kh,Bali,Kota Denpasar
08r34a5f,Nusa Tenggara Barat (NTB),Lombok Barat
q4c32z9z,Nusa Tenggara Barat (NTB),Lombok Tengah
e54n1750,Nusa Tenggara Barat (NTB),Lombok Timur
g5j5xnc9,Nusa Tenggara Barat (NTB),Sumbawa
c6ol0979,Nusa Tenggara Barat (NTB),Dompu
haj4fr9j,Nusa Tenggara Barat (NTB),Bima
2hcp2kyd,Nusa Tenggara Barat (NTB),Sumbawa Barat
9j193a2w,Nusa Tenggara Barat (NTB),Lombok Utara
55qb2998,Nusa Tenggara Barat (NTB),Kota Mataram
s9x5h11h,Nusa Tenggara Barat (NTB),Kota Bima
p2kd15io,Nusa Tenggara Timur (NTT),Kupang
fxut68cx,Nusa Tenggara Timur (NTT),Timor Tengah Selatan
9h980stt,Nusa Tenggara Timur (NTT),Timor Tengah Utara
w2ysqrl2,Nusa Tenggara Timur (NTT),Belu
qvx3acfl,Nusa Tenggara Timur (NTT),Alor
vb2h9g35,Nusa Tenggara Timur (NTT),Flores Timur
532mi52r,Nusa Tenggara Timur (NTT),Sikka
7m3pj786,Nusa Tenggara Timur (NTT),Ende
wmt1zcb6,Nusa Tenggara Timur (NTT),Ngada
u5wvsjsb,Nusa Tenggara Timur (NTT),Sumba Timur
ie9y7771,Nusa Tenggara Timur (NTT),Sumba Barat
8l2bk17v,Nusa Tenggara Timur (NTT),Lembata
n5k27xew,Nusa Tenggara Timur (NTT),Rote Ndao
317t0663,Nusa Tenggara Timur (NTT),Manggarai Barat
326n7cpk,Nusa Tenggara Timur (NTT),Nagekeo
ya42279h,Nusa Tenggara Timur (NTT),Sumba Tengah
4msvowyf,Nusa Tenggara Timur (NTT),Sumba Barat Daya
cw01e2yc,Nusa Tenggara Timur (NTT),Manggarai Timur
qzcs0za8,Nusa Tenggara Timur (NTT),Malaka
l8038464,Nusa Tenggara Timur (NTT),Kota Kupang
1q7vsu5t,Kalimantan Barat,Sambas
dy8v462f,Kalimantan Barat,Mempawah
9n1o0658,Kalimantan Barat,Sanggau
1g7y1u68,Kalimantan Barat,Ketapang
2x342oa7,Kalimantan Barat,Sintang
im7eb546,Kalimantan Barat,Kapuas Hulu
34ow1207,Kalimantan Barat,Bengkayang
54uxk549,Kalimantan Barat,Landak
044i2ky6,Kalimantan Barat,Sekadau
6ha10zn2,Kalimantan Barat,Kayong Utara
